budget,revenue,popularity,runtime,vote_average,title,genres
112190146,290571935,64.0394,109,6.13,Movie 15,"[{""id"": 12, ""name"": ""Adventure""}]"
89409749,97410154,75.0751,155,3.9,Movie 16,"[{""id"": 18, ""name"": ""Drama""}]"
140199233,342086201,23.2791,147,3.39,Movie 17,"[{""id"": 16, ""name"": ""Animation""}]"
149171095,225736957,53.3437,167,7.38,Movie 18,"[{""id"": 28, ""name"": ""Action""}]"
86652971,173707878,82.7659,108,6.36,Movie 19,"[{""id"": 10749, ""name"": ""Romance""}]"
5521373,11491917,46.8484,152,5.15,Movie 20,"[{""id"": 35, ""name"": ""Comedy""}]"
107683173,154215397,28.5673,147,7.85,Movie 21,"[{""id"": 27, ""name"": ""Horror""}]"
107328085,164488655,82.553,103,7.78,Movie 23,"[{""id"": 53, ""name"": ""Thriller""}]"
31349564,21092988,7.2509,93,4.83,Movie 24,"[{""id"": 27, ""name"": ""Horror""}]"
100052376,159374777,77.9023,148,3.44,Movie 25,"[{""id"": 35, ""name"": ""Comedy""}]"
178077808,132397908,82.3431,97,8.6,Movie 26,"[{""id"": 878, ""name"": ""Science Fiction""}]"
107406362,162457707,46.6908,121,5.37,Movie 27,"[{""id"": 18, ""name"": ""Drama""}]"
107777086,213646086,98.3473,136,7.76,Movie 28,"[{""id"": 12, ""name"": ""Adventure""}]"
63250665,123246276,78.8841,162,4.67,Movie 29,"[{""id"": 16, ""name"": ""Animation""}]"
182009883,392513995,77.5926,91,6.88,Movie 30,"[{""id"": 878, ""name"": ""Science Fiction""}]"
156716283,115680715,75.036,161,8.24,Movie 31,"[{""id"": 53, ""name"": ""Thriller""}]"
195438926,416345129,15.9102,96,3.25,Movie 32,"[{""id"": 12, ""name"": ""Adventure""}]"
80757501,103399493,22.5059,109,7.98,Movie 33,"[{""id"": 16, ""name"": ""Animation""}]"
121716221,182284021,46.935,167,6.43,Movie 34,"[{""id"": 878, ""name"": ""Science Fiction""}]"
53286002,27845986,42.1089,178,6.14,Movie 36,"[{""id"": 16, ""name"": ""Animation""}]"
33049003,65140628,88.9579,102,8.25,Movie 37,"[{""id"": 878, ""name"": ""Science Fiction""}]"
62136438,124073104,82.6084,160,3.26,Movie 38,"[{""id"": 16, ""name"": ""Animation""}]"
197412659,294470482,63.3739,80,4.57,Movie 39,"[{""id"": 16, ""name"": ""Animation""}]"
129482111,141468223,85.9539,158,8.25,Movie 40,"[{""id"": 878, ""name"": ""Science Fiction""}]"
126683192,137664736,78.5935,111,7.51,Movie 41,"[{""id"": 10749, ""name"": ""Romance""}]"
194466162,526862150,43.4695,88,3.11,Movie 42,"[{""id"": 16, ""name"": ""Animation""}]"
196524628,315434003,20.9055,94,6.1,Movie 43,"[{""id"": 28, ""name"": ""Action""}]"
56831368,75427921,51.9059,107,6.18,Movie 44,"[{""id"": 28, ""name"": ""Action""}]"
11959014,19396850,73.8867,103,5.41,Movie 45,"[{""id"": 27, ""name"": ""Horror""}]"
57972561,126001970,44.2055,139,4.78,Movie 46,"[{""id"": 12, ""name"": ""Adventure""}]"
49900483,43133549,67.0104,114,7.09,Movie 47,"[{""id"": 10749, ""name"": ""Romance""}]"
21193880,34410056,10.3384,165,4.25,Movie 48,"[{""id"": 18, ""name"": ""Drama""}]"
121826171,239962340,75.0525,106,7.79,Movie 49,"[{""id"": 10749, ""name"": ""Romance""}]"
4385357,12592370,81.4586,162,7.82,Movie 50,"[{""id"": 16, ""name"": ""Animation""}]"
45738553,51744914,70.9769,155,5.49,Movie 51,"[{""id"": 27, ""name"": ""Horror""}]"
69574553,97274052,96.7591,99,4.7,Movie 52,"[{""id"": 10749, ""name"": ""Romance""}]"
152063092,220247646,82.8386,144,4.7,Movie 53,"[{""id"": 12, ""name"": ""Adventure""}]"
187375041,377344363,90.4063,164,5.89,Movie 54,"[{""id"": 27, ""name"": ""Horror""}]"
89883975,164827418,80.3335,80,5.15,Movie 56,"[{""id"": 53, ""name"": ""Thriller""}]"
148697582,364974620,67.7516,89,6.66,Movie 57,"[{""id"": 28, ""name"": ""Action""}]"
